Adams  (001),\
Alamosa  (003),\
Arapahoe  (005),\
Archuleta  (007),\
Baca  (009),\
Bent  (011),\
Boulder  (013),\
Chaffee  (015),\
Cheyenne  (017),\
Clear Creek  (019),\
Conejos  (021),\
Costilla  (023),\
Crowley  (025),\
Custer  (027),\
Delta  (029),\
Denver  (031),\
Dolores  (033),\
Douglas  (035),\
Eagle  (037),\
Elbert  (039),\
El Paso  (041),\
Fremont  (043),\
Garfield  (045),\
Gilpin  (047),\
Grand  (049),\
Gunnison  (051),\
Hinsdale  (053),\
Huerfano  (055),\
Jackson  (057),\
Jefferson  (059),\
Kiowa  (061),\
Kit Carson  (063),\
Lake  (065),\
La Plata  (067),\
Larimer  (069),\
Las Animas  (071),\
Lincoln  (073),\
Logan  (075),\
Mesa  (077),\
Mineral  (079),\
Moffat  (081),\
Montezuma  (083),\
Montrose  (085),\
Morgan  (087),\
Otero  (089),\
Ouray  (091),\
Park  (093),\
Phillips  (095),\
Pitkin  (097),\
Prowers  (099),\
Pueblo  (101),\
Rio Blanco  (103),\
Rio Grande  (105),\
Routt  (107),\
Saguache  (109),\
San Juan  (111),\
San Miguel  (113),\
Sedgwick  (115),\
Summit  (117),\
Teller  (119),\
Washington  (121),\
Weld  (123),\
Yuma  (125),\
