Acadia  (001),\
Allen  (003),\
Ascension  (005),\
Assumption  (007),\
Avoyelles  (009),\
Beauregard  (011),\
Bienville  (013),\
Bossier  (015),\
Caddo  (017),\
Calcasieu  (019),\
Caldwell  (021),\
Cameron  (023),\
Catahoula  (025),\
Claiborne  (027),\
Concordia  (029),\
De Soto  (031),\
E. Baton Rouge  (033),\
E. Carroll  (035),\
E. Feliciana  (037),\
Evangeline  (039),\
Franklin  (041),\
Grant  (043),\
Iberia  (045),\
Iberville  (047),\
Jackson  (049),\
Jefferson  (051),\
Jefferson Davis  (053),\
Lafayette  (055),\
Lafourche  (057),\
La Salle  (059),\
Lincoln  (061),\
Livingston  (063),\
Madison  (065),\
Morehouse  (067),\
Natchitoches  (069),\
Orleans  (071),\
Ouachita  (073),\
Plaquemines  (075),\
Pointe Coupee  (077),\
Rapides  (079),\
Red River  (081),\
Richland  (083),\
Sabine  (085),\
St. Bernard  (087),\
St. Charles  (089),\
St. Helena  (091),\
St. James  (093),\
St. John the Baptist  (095),\
St. Landry  (097),\
St. Martin  (099),\
St. Mary  (101),\
St. Tammany  (103),\
Tangipahoa  (105),\
Tensas  (107),\
Terrebonne  (109),\
Union  (111),\
Vermilion  (113),\
Vernon  (115),\
Washington  (117),\
Webster  (119),\
W. Baton Rouge  (121),\
W. Carroll  (123),\
W. Feliciana  (125),\
Winn  (127),\
