Aitkin  (001),\
Anoka  (003),\
Becker  (005),\
Beltrami  (007),\
Benton  (009),\
Big Stone  (011),\
Blue Earth  (013),\
Brown  (015),\
Carlton  (017),\
Carver  (019),\
Cass  (021),\
Chippewa  (023),\
Chisago  (025),\
Clay  (027),\
Clearwater  (029),\
Cook  (031),\
Cottonwood  (033),\
Crow Wing  (035),\
Dakota  (037),\
Dodge  (039),\
Douglas  (041),\
Faribault  (043),\
Fillmore  (045),\
Freeborn  (047),\
Goodhue  (049),\
Grant  (051),\
Hennepin  (053),\
Houston  (055),\
Hubbard  (057),\
Isanti  (059),\
Itasca  (061),\
Jackson  (063),\
Kanabec  (065),\
Kandiyohi  (067),\
Kittson  (069),\
Koochiching  (071),\
Lac qui Parle  (073),\
Lake  (075),\
Lake of the Woods  (077),\
Le Sueur  (079),\
Lincoln  (081),\
Lyon  (083),\
McLeod  (085),\
Mahnomen  (087),\
Marshall  (089),\
Martin  (091),\
Meeker  (093),\
Mille Lacs  (095),\
Morrison  (097),\
Mower  (099),\
Murray  (101),\
Nicollet  (103),\
Nobles  (105),\
Norman  (107),\
Olmsted  (109),\
Otter Tail  (111),\
Pennington  (113),\
Pine  (115),\
Pipestone  (117),\
Polk  (119),\
Pope  (121),\
Ramsey  (123),\
Red Lake  (125),\
Redwood  (127),\
Renville  (129),\
Rice  (131),\
Rock  (133),\
Roseau  (135),\
St. Louis  (137),\
Scott  (139),\
Sherburne  (141),\
Sibley  (143),\
Stearns  (145),\
Steele  (147),\
Stevens  (149),\
Swift  (151),\
Todd  (153),\
Traverse  (155),\
Wabasha  (157),\
Wadena  (159),\
Waseca  (161),\
Washington  (163),\
Watonwan  (165),\
Wilkin  (167),\
Winona  (169),\
Wright  (171),\
Yellow Medicine  (173),\
