Adair  (001),\
Andrew  (003),\
Atchison  (005),\
Audrain  (007),\
Barry  (009),\
Barton  (011),\
Bates  (013),\
Benton  (015),\
Bollinger  (017),\
Boone  (019),\
Buchanan  (021),\
Butler  (023),\
Caldwell  (025),\
Callaway  (027),\
Camden  (029),\
Cape Girardeau  (031),\
Carroll  (033),\
Carter  (035),\
Cass  (037),\
Cedar  (039),\
Chariton  (041),\
Christian  (043),\
Clark  (045),\
Clay  (047),\
Clinton  (049),\
Cole  (051),\
Cooper  (053),\
Crawford  (055),\
Dade  (057),\
Dallas  (059),\
Daviess  (061),\
DeKalb  (063),\
Dent  (065),\
Douglas  (067),\
Dunklin  (069),\
Franklin  (071),\
Gasconade  (073),\
Gentry  (075),\
Greene  (077),\
Grundy  (079),\
Harrison  (081),\
Henry  (083),\
Hickory  (085),\
Holt  (087),\
Howard  (089),\
Howell  (091),\
Iron  (093),\
Jackson  (095),\
Jasper  (097),\
Jefferson  (099),\
Johnson  (101),\
Knox  (103),\
Laclede  (105),\
Lafayette  (107),\
Lawrence  (109),\
Lewis  (111),\
Lincoln  (113),\
Linn  (115),\
Livingston  (117),\
McDonald  (119),\
Macon  (121),\
Madison  (123),\
Maries  (125),\
Marion  (127),\
Mercer  (129),\
Miller  (131),\
Mississippi  (133),\
Moniteau  (135),\
Monroe  (137),\
Montgomery  (139),\
Morgan  (141),\
New Madrid  (143),\
Newton  (145),\
Nodaway  (147),\
Oregon  (149),\
Osage  (151),\
Ozark  (153),\
Pemiscot  (155),\
Perry  (157),\
Pettis  (159),\
Phelps  (161),\
Pike  (163),\
Platte  (165),\
Polk  (167),\
Pulaski  (169),\
Putnam  (171),\
Ralls  (173),\
Randolph  (175),\
Ray  (177),\
Reynolds  (179),\
Ripley  (181),\
St. Charles  (183),\
St. Clair  (185),\
Ste. Genevieve  (186),\
St. Francois  (187),\
St. Louis  (189),\
St. Louis - city  (510),\
Saline  (195),\
Schuyler  (197),\
Scotland  (199),\
Scott  (201),\
Shannon  (203),\
Shelby  (205),\
Stoddard  (207),\
Stone  (209),\
Sullivan  (211),\
Taney  (213),\
Texas  (215),\
Vernon  (217),\
Warren  (219),\
Washington  (221),\
Wayne  (223),\
Webster  (225),\
Worth  (227),\
Wright  (229),\
