Alamance  (001),\
Alexander  (003),\
Alleghany  (005),\
Anson  (007),\
Ashe  (009),\
Avery  (011),\
Beaufort  (013),\
Bertie  (015),\
Bladen  (017),\
Brunswick  (019),\
Buncombe  (021),\
Burke  (023),\
Cabarrus  (025),\
Caldwell  (027),\
Camden  (029),\
Carteret  (031),\
Caswell  (033),\
Catawba  (035),\
Chatham  (037),\
Cherokee  (039),\
Chowan  (041),\
Clay  (043),\
Cleveland  (045),\
Columbus  (047),\
Craven  (049),\
Cumberland  (051),\
Currituck  (053),\
Dare  (055),\
Davidson  (057),\
Davie  (059),\
Duplin  (061),\
Durham  (063),\
Edgecombe  (065),\
Forsyth  (067),\
Franklin  (069),\
Gaston  (071),\
Gates  (073),\
Graham  (075),\
Granville  (077),\
Greene  (079),\
Guilford  (081),\
Halifax  (083),\
Harnett  (085),\
Haywood  (087),\
Henderson  (089),\
Hertford  (091),\
Hoke  (093),\
Hyde  (095),\
Iredell  (097),\
Jackson  (099),\
Johnston  (101),\
Jones  (103),\
Lee  (105),\
Lenoir  (107),\
Lincoln  (109),\
McDowell  (111),\
Macon  (113),\
Madison  (115),\
Martin  (117),\
Mecklenburg  (119),\
Mitchell  (121),\
Montgomery  (123),\
Moore  (125),\
Nash  (127),\
New Hanover  (129),\
Northampton  (131),\
Onslow  (133),\
Orange  (135),\
Pamlico  (137),\
Pasquotank  (139),\
Pender  (141),\
Perquimans  (143),\
Person  (145),\
Pitt  (147),\
Polk  (149),\
Randolph  (151),\
Richmond  (153),\
Robeson  (155),\
Rockingham  (157),\
Rowan  (159),\
Rutherford  (161),\
Sampson  (163),\
Scotland  (165),\
Stanly  (167),\
Stokes  (169),\
Surry  (171),\
Swain  (173),\
Transylvania  (175),\
Tyrrell  (177),\
Union  (179),\
Vance  (181),\
Wake  (183),\
Warren  (185),\
Washington  (187),\
Watauga  (189),\
Wayne  (191),\
Wilkes  (193),\
Wilson  (195),\
Yadkin  (197),\
Yancey  (199),\

