Bernalillo  (001),\
Catron  (003),\
Chaves  (005),\
Cibola  (006),\
Colfax  (007),\
Curry  (009),\
De Baca  (011),\
Dona Ana  (013),\
Eddy  (015),\
Grant  (017),\
Guadalupe  (019),\
Harding  (021),\
Hidalgo  (023),\
Lea  (025),\
Lincoln  (027),\
Los Alamos  (028),\
Luna  (029),\
McKinley  (031),\
Mora  (033),\
Otero  (035),\
Quay  (037),\
Rio Arriba  (039),\
Roosevelt  (041),\
Sandoval  (043),\
San Juan  (045),\
San Miguel  (047),\
Santa Fe  (049),\
Sierra  (051),\
Socorro  (053),\
Taos  (055),\
Torrance  (057),\
Union  (059),\
Valencia  (061),\
