Accomack  (001),\
Albemarle  (003),\
Alleghany  (005),\
Amelia  (007),\
Amherst  (009),\
Appomattox  (011),\
Arlington  (013),\
Augusta  (015),\
Bath  (017),\
Bedford  (019),\
Bland  (021),\
Botetourt  (023),\
Brunswick  (025),\
Buchanan  (027),\
Buckingham  (029),\
Campbell  (031),\
Caroline  (033),\
Carroll  (035),\
Charles City  (036),\
Charlotte  (037),\
Chesterfield  (041),\
Clarke  (043),\
Craig  (045),\
Culpeper  (047),\
Cumberland  (049),\
Dickenson  (051),\
Dinwiddie  (053),\
Essex  (057),\
Fairfax  (059),\
Fauquier  (061),\
Floyd  (063),\
Fluvanna  (065),\
Franklin  (067),\
Frederick  (069),\
Giles  (071),\
Gloucester  (073),\
Goochland  (075),\
Grayson  (077),\
Greene  (079),\
Greensville  (081),\
Halifax  (083),\
Hanover  (085),\
Henrico  (087),\
Henry  (089),\
Highland  (091),\
Isle of Wight  (093),\
James City  (095),\
King and Queen  (097),\
King George  (099),\
King William  (101),\
Lancaster  (103),\
Lee  (105),\
Loudoun  (107),\
Louisa  (109),\
Lunenburg  (111),\
Madison  (113),\
Mathews  (115),\
Mecklenburg  (117),\
Middlesex  (119),\
Montgomery  (121),\
Nelson  (125),\
New Kent  (127),\
Northampton  (131),\
Northumberland  (133),\
Nottoway  (135),\
Orange  (137),\
Page  (139),\
Patrick  (141),\
Pittsylvania  (143),\
Powhatan  (145),\
Prince Edward  (147),\
Prince George  (149),\
Prince William  (153),\
Pulaski  (155),\
Rappahannock  (157),\
Richmond  (159),\
Roanoke  (161),\
Rockbridge  (163),\
Rockingham  (165),\
Russell  (167),\
Scott  (169),\
Shenandoah  (171),\
Smyth  (173),\
Southampton  (175),\
Spotsylvania  (177),\
Stafford  (179),\
Surry  (181),\
Sussex  (183),\
Tazewell  (185),\
Warren  (187),\
Washington  (191),\
Westmoreland  (193),\
Wise  (195),\
Wythe  (197),\
York  (199),\
Alexandria - city  (510),\
Bedford - city  (515),\
Bristol - city  (520),\
Buena Vista - city  (530),\
Charlottesville - city  (540),\
Chesapeake - city  (550),\
Clifton Forge - city  (560),\
Colonial Heights - city  (570),\
Covington - city  (580),\
Danville - city  (590),\
Emporia - city  (595),\
Fairfax - city  (600),\
Falls Church - city  (610),\
Franklin - city  (620),\
Fredericksburg - city  (630),\
Galax - city  (640),\
Hampton - city  (650),\
Harrisonburg - city  (660),\
Hopewell - city  (670),\
Lexington - city  (678),\
Lynchburg - city  (680),\
Manassas - city  (683),\
Manassas Park - city  (685),\
Martinsville - city  (690),\
Newport News - city  (700),\
Norfolk - city  (710),\
Norton - city  (720),\
Petersburg - city  (730),\
Poquoson - city  (735),\
Portsmouth - city  (740),\
Radford - city  (750),\
Richmond - city  (760),\
Roanoke - city  (770),\
Salem - city  (775),\
South Boston - city  (780),\
Staunton - city  (790),\
Suffolk - city  (800),\
Virginia Beach - city  (810),\
Waynesboro - city  (820),\
Williamsburg - city  (830),\
Winchester - city  (840),\
